epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,31440.2,1.60335,0.91866,1.17359,0.90727,0.83212,0.87357,0.44066,1.42589,2.07275,1.06627,0.0001733,0.0001733,0.0001733
68,31908.7,1.60276,0.90902,1.17158,0.90798,0.83201,0.87376,0.44087,1.42585,2.0678,1.06664,0.00016835,0.00016835,0.00016835
69,32377.4,1.59989,0.9051,1.17157,0.90831,0.83197,0.87378,0.44087,1.42546,2.05971,1.06642,0.0001634,0.0001634,0.0001634
70,32845.7,1.59548,0.90542,1.16742,0.90899,0.83166,0.87374,0.44168,1.42447,2.05651,1.06652,0.00015845,0.00015845,0.00015845
71,33314.5,1.59975,0.89842,1.17037,0.90884,0.8323,0.87404,0.44228,1.42402,2.05561,1.06636,0.0001535,0.0001535,0.0001535
72,33783.6,1.60055,0.90057,1.16933,0.90917,0.83255,0.87435,0.44259,1.42315,2.0397,1.06567,0.00014855,0.00014855,0.00014855
73,34252.9,1.59586,0.90075,1.17104,0.90875,0.83314,0.87458,0.44278,1.42242,2.03541,1.06507,0.0001436,0.0001436,0.0001436
74,34721.4,1.58882,0.90296,1.16415,0.90913,0.83281,0.87474,0.4432,1.42161,2.03197,1.06438,0.00013865,0.00013865,0.00013865
75,35190.5,1.58822,0.88925,1.16663,0.90975,0.83268,0.87478,0.44319,1.42152,2.03009,1.06434,0.0001337,0.0001337,0.0001337
76,35659.7,1.58131,0.89092,1.1633,0.91001,0.83338,0.87496,0.44368,1.42055,2.03021,1.06389,0.00012875,0.00012875,0.00012875
77,36130.7,1.58593,0.87757,1.16134,0.91012,0.83328,0.87503,0.4441,1.42044,2.03889,1.06398,0.0001238,0.0001238,0.0001238
78,36606.7,1.58006,0.88202,1.16348,0.91111,0.83245,0.87508,0.4443,1.42015,2.03944,1.06405,0.00011885,0.00011885,0.00011885
79,37083.1,1.58182,0.8767,1.16343,0.91127,0.83278,0.87524,0.44451,1.41977,2.03985,1.06377,0.0001139,0.0001139,0.0001139
80,37552.3,1.57806,0.87345,1.15964,0.91161,0.83253,0.87532,0.44486,1.41958,2.04878,1.06369,0.00010895,0.00010895,0.00010895
81,38012.7,1.57268,0.871,1.15878,0.91137,0.83286,0.87538,0.4448,1.41987,2.05185,1.06377,0.000104,0.000104,0.000104
82,38473.4,1.57023,0.86676,1.16037,0.91124,0.83273,0.87551,0.4448,1.41962,2.06013,1.06346,9.905e-05,9.905e-05,9.905e-05
83,38933.2,1.56375,0.86466,1.15847,0.9111,0.83269,0.87549,0.44488,1.4199,2.04961,1.06376,9.41e-05,9.41e-05,9.41e-05
84,39393.9,1.56761,0.86468,1.15909,0.91094,0.83269,0.87547,0.44497,1.41998,2.03208,1.06371,8.915e-05,8.915e-05,8.915e-05
85,39853.9,1.56077,0.85946,1.1526,0.91117,0.83222,0.8754,0.44491,1.42018,2.02973,1.06365,8.42e-05,8.42e-05,8.42e-05
86,40314.6,1.55654,0.85222,1.15054,0.91183,0.83146,0.87546,0.4452,1.42018,2.02572,1.06384,7.925e-05,7.925e-05,7.925e-05
87,40774.9,1.55154,0.85055,1.1515,0.91163,0.83207,0.87553,0.44564,1.41992,2.02213,1.06429,7.43e-05,7.43e-05,7.43e-05
88,41235.5,1.54748,0.84711,1.1468,0.91197,0.83184,0.87571,0.4458,1.42019,2.02324,1.06499,6.935e-05,6.935e-05,6.935e-05
89,41696.4,1.5488,0.85409,1.1509,0.91166,0.83187,0.87555,0.44585,1.42031,2.02933,1.06511,6.44e-05,6.44e-05,6.44e-05
90,42157.1,1.54316,0.83709,1.14516,0.91165,0.83171,0.8756,0.44642,1.42004,2.03287,1.06517,5.945e-05,5.945e-05,5.945e-05
91,42617.6,1.47538,0.86715,1.14791,0.91116,0.83141,0.87561,0.44566,1.41895,2.0278,1.06534,5.45e-05,5.45e-05,5.45e-05
92,43076.3,1.47412,0.86253,1.14348,0.91079,0.83152,0.87559,0.44535,1.41926,2.00868,1.06529,4.955e-05,4.955e-05,4.955e-05
93,43534.9,1.45809,0.84529,1.13576,0.91027,0.83155,0.87538,0.4446,1.4193,1.98926,1.06562,4.46e-05,4.46e-05,4.46e-05
94,43993.9,1.45368,0.84187,1.13948,0.90962,0.83138,0.87485,0.44351,1.4195,1.98117,1.06577,3.965e-05,3.965e-05,3.965e-05
95,44453.2,1.45553,0.85218,1.13827,0.90938,0.83107,0.87452,0.44255,1.41992,1.97369,1.06603,3.47e-05,3.47e-05,3.47e-05
96,44912.1,1.45341,0.8338,1.13601,0.90875,0.83139,0.87437,0.44213,1.42057,1.96223,1.0665,2.975e-05,2.975e-05,2.975e-05
97,45370.8,1.44033,0.82339,1.13452,0.90805,0.83125,0.87219,0.44119,1.42102,1.9635,1.06714,2.48e-05,2.48e-05,2.48e-05
98,45829.8,1.44544,0.82432,1.13316,0.90793,0.83078,0.87201,0.44067,1.42154,1.96385,1.06746,1.985e-05,1.985e-05,1.985e-05
99,46288.7,1.44311,0.82969,1.13807,0.90809,0.83055,0.87203,0.44,1.42199,1.95764,1.06779,1.49e-05,1.49e-05,1.49e-05
100,46747.5,1.43489,0.81407,1.12896,0.90782,0.83032,0.87182,0.43937,1.42301,1.95401,1.06855,9.95e-06,9.95e-06,9.95e-06
